country,country_code,continent,population,indicator,daily_count,date,rate_14_day,source
Poland,POL,Europe,37972812,deaths,16,2020-06-07,4.21354099348766,"Epidemic intelligence, national daily data"
Albania,ALB,Europe,2862427,deaths,3,2020-07-18,12.2273860608498,"Epidemic intelligence, national daily data"
Asia (total),,Asia,4498460442,confirmed cases,107046,2020-10-09,34.3973681651861,"Epidemic intelligence, national daily data"
Bangladesh,BGD,Asia,164689383,confirmed cases,2686,2020-07-12,28.6302608833018,"Epidemic intelligence, national daily data"
Uruguay,URY,America,3473727,deaths,0,2020-10-17,0.863625725337656,"Epidemic intelligence, national daily data"
Africa (total),,Africa,1339423921,deaths,0,2020-03-02,0.0,"Epidemic intelligence, national daily data"
Lesotho,LSO,Africa,2142252,deaths,0,2020-04-25,0.0,"Epidemic intelligence, national daily data"
Asia (total),,Asia,4498460442,confirmed cases,6120,2020-04-10,1.82655824274557,"Epidemic intelligence, national daily data"
Guinea-Bissau,GNB,Africa,1967998,deaths,0,2020-03-15,0.0,"Epidemic intelligence, national daily data"
Ethiopia,ETH,Africa,114963583,deaths,10,2020-09-17,1.73098293222124,"Epidemic intelligence, national daily data"
Barbados,BRB,America,287371,deaths,0,2020-02-06,0.0,"Epidemic intelligence, national daily data"
Denmark,DNK,Europe,5806081,confirmed cases,151,2020-03-11,4.54695688882053,"Epidemic intelligence, national daily data"
Russia,RUS,Europe,145934460,confirmed cases,4945,2020-08-12,50.7652544847872,"Epidemic intelligence, national daily data"
Rwanda,RWA,Africa,12952209,confirmed cases,45,2020-09-06,11.2722084703853,"Epidemic intelligence, national daily data"
Spain,ESP,Europe,46937060,deaths,0,2020-01-15,0.0,"Epidemic intelligence, national daily data"
New Zealand,NZL,Oceania,4822233,deaths,0,2020-02-20,0.0,"Epidemic intelligence, national daily data"
Curaçao,CUW,America,164100,deaths,0,2020-08-03,0.0,"Epidemic intelligence, national daily data"
Haiti,HTI,America,11402533,confirmed cases,38,2020-08-07,3.37644276056908,"Epidemic intelligence, national daily data"
Belarus,BLR,Europe,9449321,confirmed cases,156,2020-07-26,23.6524931262257,"Epidemic intelligence, national daily data"
Puerto Rico,PRI,America,2860840,confirmed cases,0,2020-03-04,0.0,"Epidemic intelligence, national daily data"
Malawi,MWI,Africa,19129955,confirmed cases,14,2020-09-12,0.763200958914958,"Epidemic intelligence, national daily data"
New Zealand,NZL,Oceania,4822233,deaths,0,2020-08-04,0.0,"Epidemic intelligence, national daily data"
Senegal,SEN,Africa,16743930,confirmed cases,0,2020-02-19,0.0,"Epidemic intelligence, national daily data"
Bulgaria,BGR,Europe,7000039,confirmed cases,785,2020-10-14,74.6710125472158,"Epidemic intelligence, national daily data"
Isle of Man,IMN,Europe,85032,confirmed cases,7,2020-04-22,184.636372189293,"Epidemic intelligence, national daily data"
